ID,BoutNumber,Start_Date,Start_Time,End_Date,End_Time,Duration
IG112018,43,12/7/2018,22:43:00,12/8/2018,06:09:00,446
IG112018,44,12/8/2018,23:21:00,12/9/2018,04:43:00,322
IG112018,45,12/9/2018,21:18:00,12/10/2018,08:10:00,652
IG112018,46,12/10/2018,22:11:00,12/11/2018,06:50:00,519
IG112018,47,12/11/2018,21:36:00,12/12/2018,05:54:00,498
IG112018,48,12/12/2018,21:35:00,12/13/2018,05:54:00,499
IG112018,49,12/13/2018,21:51:00,12/14/2018,05:42:00,471
10,1,10/30/2018,23:28:00,10/31/2018,07:56:00,508
10,2,10/31/2018,22:33:00,11/1/2018,07:09:00,516
10,3,11/1/2018,22:56:00,11/2/2018,06:14:00,438
10,4,11/2/2018,21:44:00,11/3/2018,07:52:00,608
10,5,11/4/2018,00:24:00,11/4/2018,07:34:00,430
10,6,11/4/2018,22:15:00,11/5/2018,07:37:00,562
10,7,11/6/2018,01:47:00,11/6/2018,07:28:00,341
10,8,11/6/2018,23:18:00,11/7/2018,08:29:00,551
10,9,11/8/2018,00:31:00,11/8/2018,06:11:00,340
10,10,11/8/2018,21:57:00,11/9/2018,06:54:00,537
10,11,11/9/2018,23:15:00,11/10/2018,08:19:00,544
10,12,11/11/2018,00:04:00,11/11/2018,07:41:00,457
10,13,11/11/2018,22:27:00,11/12/2018,06:09:00,462
10,14,11/13/2018,22:56:00,11/14/2018,05:43:00,407
10,15,11/15/2018,00:18:00,11/15/2018,06:22:00,364
10,16,11/16/2018,01:11:00,11/16/2018,08:58:00,467
10,17,11/16/2018,22:30:00,11/17/2018,06:24:00,474
10,18,11/18/2018,02:02:00,11/18/2018,08:44:00,402
10,19,11/18/2018,22:08:00,11/19/2018,08:22:00,614
10,20,11/19/2018,23:10:00,11/20/2018,07:14:00,484
10,21,11/20/2018,22:40:00,11/21/2018,07:05:00,505
10,22,11/21/2018,22:42:00,11/22/2018,06:47:00,485
10,23,11/23/2018,00:01:00,11/23/2018,07:56:00,475
10,24,11/23/2018,23:45:00,11/24/2018,06:01:00,376
10,25,11/25/2018,04:00:00,11/25/2018,08:24:00,264
10,26,11/25/2018,23:18:00,11/26/2018,06:23:00,425
10,27,11/26/2018,21:51:00,11/27/2018,07:17:00,566
10,28,11/28/2018,00:48:00,11/28/2018,07:31:00,403
10,29,11/28/2018,20:08:00,11/29/2018,08:22:00,734
10,30,12/1/2018,04:09:00,12/1/2018,08:01:00,232
10,31,12/1/2018,22:42:00,12/2/2018,03:47:00,305
10,32,12/2/2018,22:57:00,12/3/2018,08:06:00,549
10,33,12/3/2018,22:28:00,12/4/2018,06:50:00,502
10,34,12/4/2018,22:09:00,12/5/2018,07:22:00,553
10,35,12/6/2018,03:49:00,12/6/2018,07:43:00,234
10,36,12/6/2018,22:23:00,12/7/2018,06:04:00,461
